host,state,serial,dataset_path,dataset,split,model_id,force_asr_language,task,batch_size,max_eval_samples,norm_english,long_form,model/num_parameters,wer,mer,wil,wip,cer,rtfx,no_params,n_params,num_samples,audio_length_s_mean,audio_length_s_std,audio_length_s_min,audio_length_s_max,max_memory,bpw,total_MB
DGX-CN01,finished,10,disco-eth/WorldSpeech,en_sl,test,mistralai/Voxtral-Mini-3B-2507,en,,128,,False,False,,22.02,20.35,29.44,70.56,14.12,274.23,4676.2711,4676271104.0,1238.0,14.775622324313408,2.650294011156352,8.5045625,19.823,20818.0,16.006569917693714,8922.94140625
DGX-CN01,finished,10,disco-eth/WorldSpeech,en_sl,test,openai/whisper-medium,en,,128,,False,False,,25.84,23.32,32.68,67.32,16.71,258.22,763.8579,816967680.0,1238.0,14.775622324313408,2.650294011156352,8.5045625,19.823,80280.0,16.0,1558.2421875
DGX-H200-CN03,finished,10,disco-eth/WorldSpeech,en_us,test,Qwen/Qwen2-Audio-7B,en,,128,,False,False,,21.01,19.38,25.01,74.99,16.8,188.01,8397.0949,8397094912.0,35336.0,19.01460031023602,2.37167502949976,10.0009375,20.0000625,92922.0,16.0,16016.1875
DGX-CN01,finished,10,disco-eth/WorldSpeech,en_us,test,mistralai/Voxtral-Mini-3B-2507,en,,128,,False,False,,13.13,12.26,15.91,84.09,9.95,315.72,4676.2711,4676271104.0,35336.0,19.01460031023602,2.37167502949976,10.0009375,20.0000625,20818.0,16.006569917693714,8922.94140625
DGX-CN01,finished,10,disco-eth/WorldSpeech,en_us,test,openai/whisper-medium,en,,128,,False,False,,13.81,12.89,16.69,83.31,10.39,438.88,763.8579,816967680.0,35336.0,19.01460031023602,2.37167502949976,10.0009375,20.0000625,80328.0,16.0,1558.2421875
DGX-H200-CN03,finished,10,disco-eth/WorldSpeech,en_zm,test,Qwen/Qwen2-Audio-7B,en,,128,,False,False,,31.4,28.06,40.07,59.93,21.17,164.53,8397.0949,8397094912.0,3527.0,14.807998972214346,2.7672748860954157,6.6100625,20.0,129624.0,16.0,16016.1875
DGX-CN01,finished,10,disco-eth/WorldSpeech,en_zm,test,mistralai/Voxtral-Mini-3B-2507,en,,128,,False,False,,23.79,21.95,31.66,68.34,15.83,264.6,4676.2711,4676271104.0,3527.0,14.807998972214346,2.7672748860954157,6.6100625,20.0,20818.0,16.006569917693714,8922.94140625
DGX-CN01,finished,10,disco-eth/WorldSpeech,en_zm,test,openai/whisper-medium,en,,128,,False,False,,26.13,23.91,33.83,66.17,17.77,337.8,763.8579,816967680.0,3527.0,14.807998972214346,2.7672748860954157,6.6100625,20.0,80326.0,16.0,1558.2421875
DGX-H200-CN03,finished,10,disco-eth/WorldSpeech,es_ar,test,Qwen/Qwen2-Audio-7B,es,,128,,False,False,,32.42,29.08,40.89,59.11,22.35,143.05,8397.0949,8397094912.0,3032.0,14.967700177275724,2.8249749934624298,0.0715625,20.0,96552.0,16.0,16016.1875
DGX-CN01,finished,10,disco-eth/WorldSpeech,es_ar,test,mistralai/Voxtral-Mini-3B-2507,es,,128,,False,False,,28.61,25.95,36.52,63.48,20.01,260.11,4676.2711,4676271104.0,3032.0,14.967700177275724,2.8249749934624298,0.0715625,20.0,20818.0,16.006569917693714,8922.94140625
DGX-CN01,finished,10,disco-eth/WorldSpeech,es_ar,test,openai/whisper-medium,es,,128,,False,False,,29.2,26.51,37.36,62.64,20.22,323.72,763.8579,816967680.0,3032.0,14.967700177275724,2.8249749934624298,0.0715625,20.0,80280.0,16.0,1558.2421875
DGX-H200-CN03,finished,10,disco-eth/WorldSpeech,es_cl,test,Qwen/Qwen2-Audio-7B,es,,128,,False,False,,34.28,30.47,42.53,57.47,23.35,135.24,8397.0949,8397094912.0,20912.0,14.91281045273049,3.0385868720663463,0.1065,20.0,97968.0,16.0,16016.1875
DGX-CN01,finished,10,disco-eth/WorldSpeech,es_cl,test,mistralai/Voxtral-Mini-3B-2507,es,,128,,False,False,,27.98,25.28,35.4,64.6,19.59,257.98,4676.2711,4676271104.0,20912.0,14.91281045273049,3.0385868720663463,0.1065,20.0,20818.0,16.006569917693714,8922.94140625
DGX-CN01,finished,10,disco-eth/WorldSpeech,es_cl,test,openai/whisper-medium,es,,128,,False,False,,72.03,49.03,59.57,40.43,51.41,177.74,763.8579,816967680.0,20912.0,14.91281045273049,3.0385868720663463,0.1065,20.0,80280.0,16.0,1558.2421875
DGX-H200-CN03,finished,10,disco-eth/WorldSpeech,es_co,test,Qwen/Qwen2-Audio-7B,es,,128,,False,False,,25.28,22.71,31.28,68.72,17.96,128.22,8397.0949,8397094912.0,1893.0,14.987158940834654,2.754800120905858,6.4083125,20.0,95840.0,16.0,16016.1875
DGX-CN01,finished,10,disco-eth/WorldSpeech,es_co,test,mistralai/Voxtral-Mini-3B-2507,es,,128,,False,False,,15.56,14.48,19.65,80.35,11.79,256.89,4676.2711,4676271104.0,1893.0,14.987158940834654,2.754800120905858,6.4083125,20.0,20818.0,16.006569917693714,8922.94140625
DGX-CN01,finished,10,disco-eth/WorldSpeech,es_co,test,openai/whisper-medium,es,,128,,False,False,,101.93,58.2,67.06,32.94,78.04,163.03,763.8579,816967680.0,1893.0,14.987158940834654,2.754800120905858,6.4083125,20.0,80294.0,16.0,1558.2421875
DGX-H200-CN03,finished,10,disco-eth/WorldSpeech,es_es,test,Qwen/Qwen2-Audio-7B,es,,128,,False,False,,16.09,15.41,21.88,78.12,10.17,70.43,8397.0949,8397094912.0,34140.0,8.445468442442882,6.82246187148796,1.0,25.0,131162.0,16.0,16016.1875
DGX-CN01,finished,10,disco-eth/WorldSpeech,es_es,test,mistralai/Voxtral-Mini-3B-2507,es,,128,,False,False,,11.81,11.42,15.92,84.08,7.43,176.27,4676.2711,4676271104.0,34140.0,8.445468442442882,6.82246187148796,1.0,25.0,20818.0,16.006569917693714,8922.94140625
DGX-CN01,finished,10,disco-eth/WorldSpeech,es_es,test,openai/whisper-medium,es,,128,,False,False,,12.85,12.41,17.34,82.66,7.96,260.18,763.8579,816967680.0,34140.0,8.445468442442882,6.82246187148796,1.0,25.0,80276.0,16.0,1558.2421875
DGX-H200-CN03,finished,10,disco-eth/WorldSpeech,es_mx,test,Qwen/Qwen2-Audio-7B,es,,128,,False,False,,16.64,15.4,20.65,79.35,12.21,139.54,8397.0949,8397094912.0,10839.0,14.967374354183963,2.8451177761029594,2.1085,20.0000625,95840.0,16.0,16016.1875
DGX-CN01,finished,10,disco-eth/WorldSpeech,es_mx,test,mistralai/Voxtral-Mini-3B-2507,es,,128,,False,False,,11.05,10.41,13.39,86.61,8.46,260.28,4676.2711,4676271104.0,10839.0,14.967374354183963,2.8451177761029594,2.1085,20.0000625,20818.0,16.006569917693714,8922.94140625
DGX-CN01,finished,10,disco-eth/WorldSpeech,es_mx,test,openai/whisper-medium,es,,128,,False,False,,30.78,25.42,30.21,69.79,22.39,225.19,763.8579,816967680.0,10839.0,14.967374354183963,2.8451177761029594,2.1085,20.0000625,80280.0,16.0,1558.2421875
DGX-H200-CN03,finished,10,disco-eth/WorldSpeech,es_pe,test,Qwen/Qwen2-Audio-7B,es,,128,,False,False,,16.31,15.35,21.73,78.27,10.61,143.17,8397.0949,8397094912.0,4637.0,15.0395691179642,2.787812235273797,3.755,20.0,95840.0,16.0,16016.1875
DGX-CN01,finished,10,disco-eth/WorldSpeech,es_pe,test,mistralai/Voxtral-Mini-3B-2507,es,,128,,False,False,,10.1,9.72,14.05,85.95,6.55,276.46,4676.2711,4676271104.0,4637.0,15.0395691179642,2.787812235273797,3.755,20.0,20818.0,16.006569917693714,8922.94140625
DGX-CN01,finished,10,disco-eth/WorldSpeech,es_pe,test,openai/whisper-medium,es,,128,,False,False,,27.09,23.34,29.03,70.97,18.14,232.85,763.8579,816967680.0,4637.0,15.0395691179642,2.787812235273797,3.755,20.0,80280.0,16.0,1558.2421875
DGX-H200-CN03,finished,10,disco-eth/WorldSpeech,es_pr,test,Qwen/Qwen2-Audio-7B,es,,128,,False,False,,20.1,18.66,26.07,73.93,13.92,122.4,8397.0949,8397094912.0,2742.0,14.939296954777534,2.8452685029506655,4.9796875,20.0,95840.0,16.0,16016.1875
DGX-CN01,finished,10,disco-eth/WorldSpeech,es_pr,test,mistralai/Voxtral-Mini-3B-2507,es,,128,,False,False,,12.95,12.18,16.46,83.54,9.54,242.21,4676.2711,4676271104.0,2742.0,14.939296954777534,2.8452685029506655,4.9796875,20.0,20818.0,16.006569917693714,8922.94140625
DGX-CN01,finished,10,disco-eth/WorldSpeech,es_pr,test,openai/whisper-medium,es,,128,,False,False,,25.6,22.32,28.01,71.99,17.63,192.73,763.8579,816967680.0,2742.0,14.939296954777534,2.8452685029506655,4.9796875,20.0,80294.0,16.0,1558.2421875
DGX-H200-CN03,finished,10,disco-eth/WorldSpeech,es_py,test,Qwen/Qwen2-Audio-7B,es,,128,,False,False,,18.19,17.21,25.17,74.83,12.0,157.27,8397.0949,8397094912.0,1604.0,14.89382196851621,2.7829993590435316,10.097,20.0,129930.0,16.0,16016.1875
DGX-CN01,finished,10,disco-eth/WorldSpeech,es_py,test,mistralai/Voxtral-Mini-3B-2507,es,,128,,False,False,,12.74,12.22,17.8,82.2,8.65,257.81,4676.2711,4676271104.0,1604.0,14.89382196851621,2.7829993590435316,10.097,20.0,20818.0,16.006569917693714,8922.94140625
DGX-CN01,finished,10,disco-eth/WorldSpeech,es_py,test,openai/whisper-medium,es,,128,,False,False,,19.83,18.1,24.11,75.89,12.96,233.63,763.8579,816967680.0,1604.0,14.89382196851621,2.7829993590435316,10.097,20.0,80280.0,16.0,1558.2421875
DGX-H200-CN03,finished,10,disco-eth/WorldSpeech,es_uy,test,Qwen/Qwen2-Audio-7B,es,,128,,False,False,,34.43,30.64,42.94,57.06,23.94,134.37,8397.0949,8397094912.0,10730.0,15.023361801025164,2.8103983576501093,0.3135,20.0,97970.0,16.0,16016.1875
DGX-CN01,finished,10,disco-eth/WorldSpeech,es_uy,test,mistralai/Voxtral-Mini-3B-2507,es,,128,,False,False,,29.75,26.84,37.84,62.16,20.69,255.99,4676.2711,4676271104.0,10730.0,15.023361801025164,2.8103983576501093,0.3135,20.0,20818.0,16.006569917693714,8922.94140625
DGX-CN01,finished,10,disco-eth/WorldSpeech,es_uy,test,openai/whisper-medium,es,,128,,False,False,,30.94,27.92,39.26,60.74,21.41,335.09,763.8579,816967680.0,10730.0,15.023361801025164,2.8103983576501093,0.3135,20.0,80320.0,16.0,1558.2421875
DGX-H200-CN03,finished,10,disco-eth/WorldSpeech,fr_ca,test,Qwen/Qwen2-Audio-7B,fr,,128,,False,False,,22.1,21.01,29.83,70.17,15.19,96.47,8397.0949,8397094912.0,10919.0,18.351981294074548,11.459443761895589,3.004,360.508,125200.0,16.0,16016.1875
DGX-CN01,failed,10,disco-eth/WorldSpeech,fr_ca,test,mistralai/Voxtral-Mini-3B-2507,fr,,128,,False,False,,,,,,,,,,,,,,,,,
DGX-CN01,finished,10,disco-eth/WorldSpeech,fr_ca,test,openai/whisper-medium,fr,,128,,False,False,,15.0,14.34,19.22,80.78,10.93,279.97,763.8579,816967680.0,10919.0,18.351981294074548,11.459443761895589,3.004,360.508,80280.0,16.0,1558.2421875
DGX-H200-CN03,finished,10,disco-eth/WorldSpeech,fr_cd,test,Qwen/Qwen2-Audio-7B,fr,,128,,False,False,,18.57,17.65,26.44,73.56,10.58,114.51,8397.0949,8397094912.0,265.0,18.78724599056604,12.714793082492209,3.548,197.724,125200.0,16.0,16016.1875
DGX-CN01,failed,10,disco-eth/WorldSpeech,fr_cd,test,mistralai/Voxtral-Mini-3B-2507,fr,,128,,False,False,,,,,,,,,,,,,,,,,
DGX-CN01,finished,10,disco-eth/WorldSpeech,fr_cd,test,openai/whisper-medium,fr,,128,,False,False,,14.35,13.87,20.97,79.03,7.18,347.05,763.8579,816967680.0,265.0,18.78724599056604,12.714793082492209,3.548,197.724,24906.0,16.0,1558.2421875
DGX-H200-CN03,finished,10,disco-eth/WorldSpeech,fr_ci,test,Qwen/Qwen2-Audio-7B,fr,,128,,False,False,,19.52,18.68,28.0,72.0,12.57,86.97,8397.0949,8397094912.0,116.0,17.996553879310344,10.724677480701905,3.164,105.3399375,114970.0,16.0,16016.1875
DGX-CN01,finished,10,disco-eth/WorldSpeech,fr_ci,test,mistralai/Voxtral-Mini-3B-2507,fr,,128,,False,False,,17.47,16.33,22.46,77.54,12.13,53.16,4676.2711,4676271104.0,116.0,17.996553879310344,10.724677480701905,3.164,105.3399375,48600.0,16.006569917693714,8922.94140625
DGX-CN01,finished,10,disco-eth/WorldSpeech,fr_ci,test,openai/whisper-medium,fr,,128,,False,False,,14.21,13.89,21.29,78.71,7.77,378.03,763.8579,816967680.0,116.0,17.996553879310344,10.724677480701905,3.164,105.3399375,20958.0,16.0,1558.2421875
DGX-H200-CN03,finished,10,disco-eth/WorldSpeech,ha_td,test,Qwen/Qwen2-Audio-7B,ha,,128,,False,False,,110.69,95.9,99.47,0.53,94.57,76.96,8397.0949,8397094912.0,810.0,15.521643518518518,8.860116602465274,3.0040625,29.9800625,125372.0,16.0,16016.1875
DGX-CN01,finished,10,disco-eth/WorldSpeech,ha_td,test,mistralai/Voxtral-Mini-3B-2507,ha,,128,,False,False,,110.68,93.8,99.42,0.58,82.0,207.04,4676.2711,4676271104.0,810.0,15.521643518518518,8.860116602465274,3.0040625,29.9800625,20818.0,16.006569917693714,8922.94140625
DGX-CN01,finished,10,disco-eth/WorldSpeech,ha_td,test,openai/whisper-medium,ha,,128,,False,False,,113.48,95.2,99.53,0.47,83.38,182.46,763.8579,816967680.0,810.0,15.521643518518518,8.860116602465274,3.0040625,29.9800625,80326.0,16.0,1558.2421875
DGX-H200-CN03,failed,10,disco-eth/WorldSpeech,hi_in,test,Qwen/Qwen2-Audio-7B,hi,,128,,False,False,,,,,,,,,,,,,,,,,
DGX-CN01,finished,10,disco-eth/WorldSpeech,hi_in,test,mistralai/Voxtral-Mini-3B-2507,hi,,128,,False,False,,32.93,30.64,41.78,58.22,24.5,202.22,4676.2711,4676271104.0,27474.0,13.716017912389896,9.19005907053822,1.0199375,29.9800625,20818.0,16.006569917693714,8922.94140625
DGX-CN01,finished,10,disco-eth/WorldSpeech,hi_in,test,openai/whisper-medium,hi,,128,,False,False,,60.56,51.11,68.14,31.86,43.22,170.43,763.8579,816967680.0,27474.0,13.716017912389896,9.19005907053822,1.0199375,29.9800625,80326.0,16.0,1558.2421875
DGX-H200-CN03,finished,10,disco-eth/WorldSpeech,id_id,test,Qwen/Qwen2-Audio-7B,id,,128,,False,False,,63.41,54.67,70.22,29.78,45.16,92.03,8397.0949,8397094912.0,5323.0,15.291357282077776,4.617416039190607,2.9090625,29.9800625,135466.0,16.0,16016.1875
DGX-CN01,finished,10,disco-eth/WorldSpeech,id_id,test,mistralai/Voxtral-Mini-3B-2507,id,,128,,False,False,,25.85,24.0,34.99,65.01,14.58,247.2,4676.2711,4676271104.0,5323.0,15.291357282077776,4.617416039190607,2.9090625,29.9800625,20670.0,16.006569917693714,8922.94140625
DGX-CN01,finished,10,disco-eth/WorldSpeech,id_id,test,openai/whisper-medium,id,,128,,False,False,,24.94,23.23,33.39,66.61,13.89,320.44,763.8579,816967680.0,5323.0,15.291357282077776,4.617416039190607,2.9090625,29.9800625,80280.0,16.0,1558.2421875
DGX-H200-CN03,failed,10,disco-eth/WorldSpeech,mr_in,test,Qwen/Qwen2-Audio-7B,mr,,128,,False,False,,,,,,,,,,,,,,,,,
DGX-CN01,finished,10,disco-eth/WorldSpeech,mr_in,test,mistralai/Voxtral-Mini-3B-2507,mr,,128,,False,False,,37.62,35.41,53.33,46.67,18.62,190.26,4676.2711,4676271104.0,3064.0,13.395677117330289,7.190671263434748,1.02,29.948,20818.0,16.006569917693714,8922.94140625
DGX-CN01,finished,10,disco-eth/WorldSpeech,mr_in,test,openai/whisper-medium,mr,,128,,False,False,,65.11,57.97,78.29,21.71,38.12,161.75,763.8579,816967680.0,3064.0,13.395677117330289,7.190671263434748,1.02,29.948,80326.0,16.0,1558.2421875
DGX-H200-CN03,finished,10,disco-eth/WorldSpeech,sw_ke,test,Qwen/Qwen2-Audio-7B,sw,,128,,False,False,,35.78,30.13,40.22,59.78,25.45,57.7,8397.0949,8397094912.0,5352.0,8.560433249252617,6.243522739151715,1.212,29.9800625,125372.0,16.0,16016.1875
DGX-CN01,finished,10,disco-eth/WorldSpeech,sw_ke,test,mistralai/Voxtral-Mini-3B-2507,sw,,128,,False,False,,25.93,22.92,31.21,68.79,18.63,180.24,4676.2711,4676271104.0,5352.0,8.560433249252617,6.243522739151715,1.212,29.9800625,20818.0,16.006569917693714,8922.94140625
DGX-CN01,finished,10,disco-eth/WorldSpeech,sw_ke,test,openai/whisper-medium,sw,,128,,False,False,,786.1,99.22,99.95,0.05,625.31,114.2,763.8579,816967680.0,5352.0,8.560433249252617,6.243522739151715,1.212,29.9800625,80280.0,16.0,1558.2421875
DGX-H200-CN03,finished,10,disco-eth/WorldSpeech,sw_tz,test,Qwen/Qwen2-Audio-7B,sw,,128,,False,False,,117.59,97.57,99.85,0.15,88.24,59.7,8397.0949,8397094912.0,10542.0,11.568960580297857,7.984717565184813,1.02,29.9800625,125372.0,16.0,16016.1875
DGX-CN01,finished,10,disco-eth/WorldSpeech,sw_tz,test,mistralai/Voxtral-Mini-3B-2507,sw,,128,,False,False,,78.1,68.55,87.85,12.15,45.45,175.5,4676.2711,4676271104.0,10542.0,11.568960580297857,7.984717565184813,1.02,29.9800625,20818.0,16.006569917693714,8922.94140625
DGX-CN01,finished,10,disco-eth/WorldSpeech,sw_tz,test,openai/whisper-medium,sw,,128,,False,False,,98.5,75.78,90.89,9.11,51.19,152.03,763.8579,816967680.0,10542.0,11.568960580297857,7.984717565184813,1.02,29.9800625,80280.0,16.0,1558.2421875
DGX-H200-CN03,finished,10,disco-eth/WorldSpeech,ta_in,test,Qwen/Qwen2-Audio-7B,ta,,128,,False,False,,104.43,100.0,100.0,0.0,105.29,70.86,8397.0949,8397094912.0,466.0,13.893889216738197,7.201758252314545,2.044,29.948,125372.0,16.0,16016.1875
DGX-CN01,finished,10,disco-eth/WorldSpeech,ta_in,test,mistralai/Voxtral-Mini-3B-2507,ta,,128,,False,False,,45.04,42.14,59.35,40.65,30.27,197.44,4676.2711,4676271104.0,466.0,13.893889216738197,7.201758252314545,2.044,29.948,20818.0,16.006569917693714,8922.94140625
DGX-CN01,finished,10,disco-eth/WorldSpeech,ta_in,test,openai/whisper-medium,ta,,128,,False,False,,36.9,34.31,50.87,49.13,18.44,169.4,763.8579,816967680.0,466.0,13.893889216738197,7.201758252314545,2.044,29.948,80326.0,16.0,1558.2421875
DGX-H200-CN03,finished,10,disco-eth/WorldSpeech,ta_lk,test,Qwen/Qwen2-Audio-7B,ta,,128,,False,False,,100.0,100.0,100.0,0.0,99.43,142.9,8397.0949,8397094912.0,1224.0,30.0,0.0,30.0,30.0,125476.0,16.0,16016.1875
DGX-CN01,finished,10,disco-eth/WorldSpeech,ta_lk,test,mistralai/Voxtral-Mini-3B-2507,ta,,128,,False,False,,98.26,97.03,99.8,0.2,88.76,325.32,4676.2711,4676271104.0,1224.0,30.0,0.0,30.0,30.0,20816.0,16.006569917693714,8922.94140625
DGX-CN01,finished,10,disco-eth/WorldSpeech,ta_lk,test,openai/whisper-medium,ta,,128,,False,False,,78.15,73.95,86.78,13.22,64.3,303.79,763.8579,816967680.0,1224.0,30.0,0.0,30.0,30.0,80280.0,16.0,1558.2421875
DGX-H200-CN03,finished,10,disco-eth/WorldSpeech,ur_in,test,Qwen/Qwen2-Audio-7B,ur,,128,,False,False,,108.48,99.79,100.0,0.0,101.32,70.19,8397.0949,8397094912.0,155.0,14.42469758064516,7.836071266511399,2.108,29.82,124816.0,16.0,16016.1875
DGX-CN01,finished,10,disco-eth/WorldSpeech,ur_in,test,mistralai/Voxtral-Mini-3B-2507,ur,,128,,False,False,,90.06,71.87,89.91,10.09,47.35,178.62,4676.2711,4676271104.0,155.0,14.42469758064516,7.836071266511399,2.108,29.82,20380.0,16.006569917693714,8922.94140625
DGX-CN01,finished,10,disco-eth/WorldSpeech,ur_in,test,openai/whisper-medium,ur,,128,,False,False,,45.42,41.33,60.63,39.37,20.17,158.11,763.8579,816967680.0,155.0,14.42469758064516,7.836071266511399,2.108,29.82,80294.0,16.0,1558.2421875
DGX-H200-CN03,finished,10,disco-eth/WorldSpeech,ur_pk,test,Qwen/Qwen2-Audio-7B,ur,,128,,False,False,,86.38,67.71,83.6,16.4,68.22,46.83,8397.0949,8397094912.0,1482.0,9.051469509109312,8.825499456066144,1.02,29.98,125372.0,16.0,16016.1875
DGX-CN01,finished,10,disco-eth/WorldSpeech,ur_pk,test,mistralai/Voxtral-Mini-3B-2507,ur,,128,,False,False,,73.43,60.29,78.76,21.24,46.03,153.32,4676.2711,4676271104.0,1482.0,9.051469509109312,8.825499456066144,1.02,29.98,20818.0,16.006569917693714,8922.94140625
DGX-CN01,finished,10,disco-eth/WorldSpeech,ur_pk,test,openai/whisper-medium,ur,,128,,False,False,,209.64,96.03,99.64,0.36,164.2,110.79,763.8579,816967680.0,1482.0,9.051469509109312,8.825499456066144,1.02,29.98,80320.0,16.0,1558.2421875
