host,state,serial,dataset_path,dataset,split,model_id,force_asr_language,task,batch_size,max_eval_samples,norm_english,long_form,model/num_parameters,wer,mer,wil,wip,cer,rtfx,no_params,n_params,num_samples,audio_length_s_mean,audio_length_s_std,audio_length_s_min,audio_length_s_max,max_memory,bpw,total_MB
DGX-H200-CN03,finished,10,ERISLab/WorldSpeech,crs_sc,test_clean,Qwen/Qwen2-Audio-7B,crs,,128,,False,False,,109.67,95.49,99.58,0.42,85.18,94.49,8397.0949,8397094912.0,19162.0,14.998275365958667,2.7690941383179477,10.001,20.0,110500.0,16.0,16016.1875
DGX-CN01,failed,10,ERISLab/WorldSpeech,crs_sc,test_clean,mistralai/Voxtral-Mini-3B-2507,crs,,128,,False,False,,,,,,,,,,,,,,,,,
DGX-CN01,failed,10,ERISLab/WorldSpeech,crs_sc,test_clean,openai/whisper-medium,crs,,128,,False,False,,,,,,,,,,,,,,,,,
DGX-H200-CN03,finished,10,disco-eth/WorldSpeech,am_et,test,Qwen/Qwen2-Audio-7B,am,,128,,False,False,,160.25,99.97,100.0,0.0,149.62,71.68,8397.0949,8397094912.0,468.0,14.658409722222222,8.790846220307857,3.004,29.98,125476.0,16.0,16016.1875
DGX-CN01,finished,10,disco-eth/WorldSpeech,am_et,test,mistralai/Voxtral-Mini-3B-2507,am,,128,,False,False,,134.59,99.96,100.0,0.0,133.07,188.4,4676.2711,4676271104.0,468.0,14.658409722222222,8.790846220307857,3.004,29.98,20818.0,16.006569917693714,8922.94140625
DGX-CN01,finished,10,disco-eth/WorldSpeech,am_et,test,openai/whisper-medium,am,,128,,False,False,,215.39,99.99,100.0,0.0,144.27,167.39,763.8579,816967680.0,468.0,14.658409722222222,8.790846220307857,3.004,29.98,80294.0,16.0,1558.2421875
DGX-H200-CN03,finished,10,disco-eth/WorldSpeech,en_au,test,Qwen/Qwen2-Audio-7B,en,,128,,False,False,,19.0,17.58,23.72,76.28,13.87,157.1,8397.0949,8397094912.0,3880.0,26.329376594716496,4.167700529246072,3.6,30.0,125200.0,16.0,16016.1875
DGX-CN01,finished,10,disco-eth/WorldSpeech,en_au,test,mistralai/Voxtral-Mini-3B-2507,en,,128,,False,False,,13.74,13.03,17.22,82.78,9.95,226.04,4676.2711,4676271104.0,3880.0,26.329376594716496,4.167700529246072,3.6,30.0,34452.0,16.006569917693714,8922.94140625
DGX-CN01,finished,10,disco-eth/WorldSpeech,en_au,test,openai/whisper-medium,en,,128,,False,False,,13.36,12.74,17.0,83.0,9.46,425.62,763.8579,816967680.0,3880.0,26.329376594716496,4.167700529246072,3.6,30.0,24996.0,16.0,1558.2421875
DGX-H200-CN03,finished,10,disco-eth/WorldSpeech,en_jm,test,Qwen/Qwen2-Audio-7B,en,,128,,False,False,,24.6,21.91,29.36,70.64,17.66,92.75,8397.0949,8397094912.0,117.0,14.818038461538462,2.7750846299013365,10.145,19.7910625,87746.0,16.0,16016.1875
DGX-CN01,finished,10,disco-eth/WorldSpeech,en_jm,test,mistralai/Voxtral-Mini-3B-2507,en,,128,,False,False,,12.12,11.58,16.45,83.55,7.97,266.75,4676.2711,4676271104.0,117.0,14.818038461538462,2.7750846299013365,10.145,19.7910625,20060.0,16.006569917693714,8922.94140625
DGX-CN01,finished,10,disco-eth/WorldSpeech,en_jm,test,openai/whisper-medium,en,,128,,False,False,,11.76,11.29,16.26,83.74,7.62,405.07,763.8579,816967680.0,117.0,14.818038461538462,2.7750846299013365,10.145,19.7910625,20464.0,16.0,1558.2421875
DGX-H200-CN03,finished,10,disco-eth/WorldSpeech,en_ke,test,Qwen/Qwen2-Audio-7B,en,,128,,False,False,,34.94,29.75,40.56,59.44,25.02,142.57,8397.0949,8397094912.0,1822.0,14.9095605104281,2.7827184756232675,2.3823125,20.0,116314.0,16.0,16016.1875
DGX-CN01,finished,10,disco-eth/WorldSpeech,en_ke,test,mistralai/Voxtral-Mini-3B-2507,en,,128,,False,False,,27.28,24.03,32.86,67.14,19.49,251.03,4676.2711,4676271104.0,1822.0,14.9095605104281,2.7827184756232675,2.3823125,20.0,20818.0,16.006569917693714,8922.94140625
DGX-CN01,finished,10,disco-eth/WorldSpeech,en_ke,test,openai/whisper-medium,en,,128,,False,False,,34.88,29.56,38.77,61.23,25.39,263.78,763.8579,816967680.0,1822.0,14.9095605104281,2.7827184756232675,2.3823125,20.0,80326.0,16.0,1558.2421875
DGX-H200-CN03,finished,10,disco-eth/WorldSpeech,en_nz,test,Qwen/Qwen2-Audio-7B,en,,128,,False,False,,17.66,16.5,22.45,77.55,13.04,157.19,8397.0949,8397094912.0,3074.0,25.77692889964216,4.666298939578619,2.55,30.0,125200.0,16.0,16016.1875
DGX-CN01,finished,10,disco-eth/WorldSpeech,en_nz,test,mistralai/Voxtral-Mini-3B-2507,en,,128,,False,False,,11.14,10.71,14.12,85.88,8.47,229.0,4676.2711,4676271104.0,3074.0,25.77692889964216,4.666298939578619,2.55,30.0,35130.0,16.006569917693714,8922.94140625
DGX-CN01,finished,10,disco-eth/WorldSpeech,en_nz,test,openai/whisper-medium,en,,128,,False,False,,12.97,12.33,15.9,84.1,9.74,358.3,763.8579,816967680.0,3074.0,25.77692889964216,4.666298939578619,2.55,30.0,80290.0,16.0,1558.2421875
DGX-H200-CN03,finished,10,disco-eth/WorldSpeech,en_pk,test,Qwen/Qwen2-Audio-7B,en,,128,,False,False,,115.75,88.22,97.86,2.14,110.1,32.72,8397.0949,8397094912.0,237.0,6.005459651898734,6.970051933689309,1.02,29.98,125094.0,16.0,16016.1875
DGX-CN01,finished,10,disco-eth/WorldSpeech,en_pk,test,mistralai/Voxtral-Mini-3B-2507,en,,128,,False,False,,108.6,84.77,96.76,3.24,78.47,114.79,4676.2711,4676271104.0,237.0,6.005459651898734,6.970051933689309,1.02,29.98,20380.0,16.006569917693714,8922.94140625
DGX-CN01,finished,10,disco-eth/WorldSpeech,en_pk,test,openai/whisper-medium,en,,128,,False,False,,93.87,84.56,96.47,3.53,87.7,252.89,763.8579,816967680.0,237.0,6.005459651898734,6.970051933689309,1.02,29.98,22230.0,16.0,1558.2421875
DGX-H200-CN03,finished,10,disco-eth/WorldSpeech,en_sl,test,Qwen/Qwen2-Audio-7B,en,,128,,False,False,,30.05,27.05,38.81,61.19,19.87,178.05,8397.0949,8397094912.0,1238.0,14.775622324313408,2.650294011156352,8.5045625,19.823,129290.0,16.0,16016.1875
