host,state,serial,dataset_path,dataset,split,model_id,force_asr_language,model/num_parameters,batch_size,gradient_accumulation_steps,max_steps,lr,wer,cer,rtfx,no_params,num_samples,audio_length_s_mean,eval/cer,eval/loss,train/loss,train/train_audio_seconds,train/epoch,train/global_step,total_flos,train_runtime
DGX-H200-CN03,finished,2,ERISLab/WorldSpeech,crs_sc,val_clean,q2a_openai/whisper-medium_CohereLabs/tiny-aya-base,crs,3656206336,8,64,1000,0.0015,,,,,,,23.33,0.6357767581939697,0.5689,7603795.907624959,1.3986101094866583,1000,5.207957902036304e+18,42416.8417
DGX-H200-CN05,finished,2,ERISLab/WorldSpeech,crs_sc,val_clean,q2a_openai/whisper-medium_Qwen/Qwen3-4B,crs,4331632640,8,64,1000,0.001,,,,,,,18.64,0.6333596110343933,0.6019,7611781.659499985,1.286,1000,6.665764812611174e+18,62686.4365
DGX-H200-CN04,finished,2,google/fleurs,ta_in,validation,q2a_openai/whisper-medium_CohereLabs/tiny-aya-base,ta,3656206336,8,64,1000,0.0015,,,,,,,54.95,1.1376829147338867,0.1018,7271859.621437214,58.014,1000,8.368873150816715e+18,130036.8966
DGX-H200-CN04,finished,2,google/fleurs,ta_in,validation,q2a_openai/whisper-medium_Qwen/Qwen3-4B,ta,4331632640,8,64,1000,0.001,,,,,,,52.77,0.7163909077644348,0.0558,7271859.621437214,58.014,1000,1.235836839899431e+19,136152.8193
