run_id,run_name,_step,_runtime,_timestamp,train/global_step,train/epoch,train/train_audio_seconds,train/num_input_tokens_seen,train/loss,train/grad_norm,train/learning_rate,train/train_tokens_per_second,eval/loss,eval/cer,eval/runtime,eval/samples_per_second,eval/steps_per_second,state,host,serial,dataset_path,dataset,split,model_id,force_asr_language,batch_size,gradient_accumulation_steps,max_steps,lr,seed,freeze_encoder,freeze_decoder,peft,dataset_path_train,dataset_train,split_train,model/num_parameters,max_input_length,streaming,seed_recorded,train_audio_seconds_filled,audio_hours,effective_batch,is_eval_row,is_train_row
w68nxmia,q2a_openai/whisper-medium_CohereLabs/tiny-aya-base_multids_ERISLab/WorldSpeech_crs_sc_train_val_exc_clean_2,0,104.827246,1785817315.521909,0,0.000000,,0.000000,,,,,8.243683,136.190000,104.248300,3.520000,0.115000,finished,DGX-H200-CN03,2,ERISLab/WorldSpeech,crs_sc,val_clean,q2a_openai/whisper-medium_CohereLabs/tiny-aya-base,crs,8,64,1000,0.001500,420,True,True,False,['ERISLab/WorldSpeech'],['crs_sc'],['train_val_exc_clean'],3656206336,30,False,True,0.000000,0.000000,512,True,False
w68nxmia,q2a_openai/whisper-medium_CohereLabs/tiny-aya-base_multids_ERISLab/WorldSpeech_crs_sc_train_val_exc_clean_2,1,479.107032,1785817689.801858,10,0.013986,75864.934625,2781664.000000,7.431100,1.835938,0.001350,5812.875000,,,,,,finished,DGX-H200-CN03,2,ERISLab/WorldSpeech,crs_sc,val_clean,q2a_openai/whisper-medium_CohereLabs/tiny-aya-base,crs,8,64,1000,0.001500,420,True,True,False,['ERISLab/WorldSpeech'],['crs_sc'],['train_val_exc_clean'],3656206336,30,False,True,75864.934625,21.073593,512,False,True
w68nxmia,q2a_openai/whisper-medium_CohereLabs/tiny-aya-base_multids_ERISLab/WorldSpeech_crs_sc_train_val_exc_clean_2,2,560.709328,1785817771.403998,10,0.013986,75864.934625,2781664.000000,,,,,6.562661,145.180000,81.600400,4.498000,0.147000,finished,DGX-H200-CN03,2,ERISLab/WorldSpeech,crs_sc,val_clean,q2a_openai/whisper-medium_CohereLabs/tiny-aya-base,crs,8,64,1000,0.001500,420,True,True,False,['ERISLab/WorldSpeech'],['crs_sc'],['train_val_exc_clean'],3656206336,30,False,True,75864.934625,21.073593,512,True,False
w68nxmia,q2a_openai/whisper-medium_CohereLabs/tiny-aya-base_multids_ERISLab/WorldSpeech_crs_sc_train_val_exc_clean_2,3,918.743477,1785818129.438290,20,0.027973,151773.008313,5557912.000000,6.197200,0.546875,0.001500,6053.238000,,,,,,finished,DGX-H200-CN03,2,ERISLab/WorldSpeech,crs_sc,val_clean,q2a_openai/whisper-medium_CohereLabs/tiny-aya-base,crs,8,64,1000,0.001500,420,True,True,False,['ERISLab/WorldSpeech'],['crs_sc'],['train_val_exc_clean'],3656206336,30,False,True,151773.008313,42.159169,512,False,True
w68nxmia,q2a_openai/whisper-medium_CohereLabs/tiny-aya-base_multids_ERISLab/WorldSpeech_crs_sc_train_val_exc_clean_2,4,999.589527,1785818210.284209,20,0.027973,151773.008313,5557912.000000,,,,,5.811441,217.810000,80.844400,4.540000,0.148000,finished,DGX-H200-CN03,2,ERISLab/WorldSpeech,crs_sc,val_clean,q2a_openai/whisper-medium_CohereLabs/tiny-aya-base,crs,8,64,1000,0.001500,420,True,True,False,['ERISLab/WorldSpeech'],['crs_sc'],['train_val_exc_clean'],3656206336,30,False,True,151773.008313,42.159169,512,True,False
w68nxmia,q2a_openai/whisper-medium_CohereLabs/tiny-aya-base_multids_ERISLab/WorldSpeech_crs_sc_train_val_exc_clean_2,5,1348.617913,1785818559.312785,30,0.041959,227534.286875,8342712.000000,5.637300,0.355469,0.001499,6188.745000,,,,,,finished,DGX-H200-CN03,2,ERISLab/WorldSpeech,crs_sc,val_clean,q2a_openai/whisper-medium_CohereLabs/tiny-aya-base,crs,8,64,1000,0.001500,420,True,True,False,['ERISLab/WorldSpeech'],['crs_sc'],['train_val_exc_clean'],3656206336,30,False,True,227534.286875,63.203969,512,False,True
w68nxmia,q2a_openai/whisper-medium_CohereLabs/tiny-aya-base_multids_ERISLab/WorldSpeech_crs_sc_train_val_exc_clean_2,6,1429.427663,1785818640.122216,30,0.041959,227534.286875,8342712.000000,,,,,5.484867,321.340000,80.808000,4.542000,0.149000,finished,DGX-H200-CN03,2,ERISLab/WorldSpeech,crs_sc,val_clean,q2a_openai/whisper-medium_CohereLabs/tiny-aya-base,crs,8,64,1000,0.001500,420,True,True,False,['ERISLab/WorldSpeech'],['crs_sc'],['train_val_exc_clean'],3656206336,30,False,True,227534.286875,63.203969,512,True,False
w68nxmia,q2a_openai/whisper-medium_CohereLabs/tiny-aya-base_multids_ERISLab/WorldSpeech_crs_sc_train_val_exc_clean_2,7,1778.107500,1785818988.802638,40,0.055945,303699.403875,11125056.000000,5.358500,0.380859,0.001497,6258.695000,,,,,,finished,DGX-H200-CN03,2,ERISLab/WorldSpeech,crs_sc,val_clean,q2a_openai/whisper-medium_CohereLabs/tiny-aya-base,crs,8,64,1000,0.001500,420,True,True,False,['ERISLab/WorldSpeech'],['crs_sc'],['train_val_exc_clean'],3656206336,30,False,True,303699.403875,84.360946,512,False,True
w68nxmia,q2a_openai/whisper-medium_CohereLabs/tiny-aya-base_multids_ERISLab/WorldSpeech_crs_sc_train_val_exc_clean_2,8,1859.227995,1785819069.922668,40,0.055945,303699.403875,11125056.000000,,,,,5.260862,359.820000,81.118600,4.524000,0.148000,finished,DGX-H200-CN03,2,ERISLab/WorldSpeech,crs_sc,val_clean,q2a_openai/whisper-medium_CohereLabs/tiny-aya-base,crs,8,64,1000,0.001500,420,True,True,False,['ERISLab/WorldSpeech'],['crs_sc'],['train_val_exc_clean'],3656206336,30,False,True,303699.403875,84.360946,512,True,False
w68nxmia,q2a_openai/whisper-medium_CohereLabs/tiny-aya-base_multids_ERISLab/WorldSpeech_crs_sc_train_val_exc_clean_2,9,2208.657301,1785819419.352148,50,0.069932,379610.072313,13907160.000000,5.156700,0.357422,0.001494,6298.289000,,,,,,finished,DGX-H200-CN03,2,ERISLab/WorldSpeech,crs_sc,val_clean,q2a_openai/whisper-medium_CohereLabs/tiny-aya-base,crs,8,64,1000,0.001500,420,True,True,False,['ERISLab/WorldSpeech'],['crs_sc'],['train_val_exc_clean'],3656206336,30,False,True,379610.072313,105.447242,512,False,True
w68nxmia,q2a_openai/whisper-medium_CohereLabs/tiny-aya-base_multids_ERISLab/WorldSpeech_crs_sc_train_val_exc_clean_2,10,2289.315139,1785819500.009901,50,0.069932,379610.072313,13907160.000000,,,,,5.081084,368.610000,80.656400,4.550000,0.149000,finished,DGX-H200-CN03,2,ERISLab/WorldSpeech,crs_sc,val_clean,q2a_openai/whisper-medium_CohereLabs/tiny-aya-base,crs,8,64,1000,0.001500,420,True,True,False,['ERISLab/WorldSpeech'],['crs_sc'],['train_val_exc_clean'],3656206336,30,False,True,379610.072313,105.447242,512,True,False
w68nxmia,q2a_openai/whisper-medium_CohereLabs/tiny-aya-base_multids_ERISLab/WorldSpeech_crs_sc_train_val_exc_clean_2,11,2653.456532,1785819864.151358,60,0.083918,455775.576688,16694768.000000,4.992800,0.353516,0.001491,6293.062000,,,,,,finished,DGX-H200-CN03,2,ERISLab/WorldSpeech,crs_sc,val_clean,q2a_openai/whisper-medium_CohereLabs/tiny-aya-base,crs,8,64,1000,0.001500,420,True,True,False,['ERISLab/WorldSpeech'],['crs_sc'],['train_val_exc_clean'],3656206336,30,False,True,455775.576688,126.604327,512,False,True
w68nxmia,q2a_openai/whisper-medium_CohereLabs/tiny-aya-base_multids_ERISLab/WorldSpeech_crs_sc_train_val_exc_clean_2,12,2734.342360,1785819945.036990,60,0.083918,455775.576688,16694768.000000,,,,,4.921713,353.290000,80.884300,4.537000,0.148000,finished,DGX-H200-CN03,2,ERISLab/WorldSpeech,crs_sc,val_clean,q2a_openai/whisper-medium_CohereLabs/tiny-aya-base,crs,8,64,1000,0.001500,420,True,True,False,['ERISLab/WorldSpeech'],['crs_sc'],['train_val_exc_clean'],3656206336,30,False,True,455775.576688,126.604327,512,True,False
w68nxmia,q2a_openai/whisper-medium_CohereLabs/tiny-aya-base_multids_ERISLab/WorldSpeech_crs_sc_train_val_exc_clean_2,13,3083.321785,1785820294.016656,70,0.097904,531892.384938,19475128.000000,4.813600,0.503906,0.001487,6317.453000,,,,,,finished,DGX-H200-CN03,2,ERISLab/WorldSpeech,crs_sc,val_clean,q2a_openai/whisper-medium_CohereLabs/tiny-aya-base,crs,8,64,1000,0.001500,420,True,True,False,['ERISLab/WorldSpeech'],['crs_sc'],['train_val_exc_clean'],3656206336,30,False,True,531892.384938,147.747885,512,False,True
w68nxmia,q2a_openai/whisper-medium_CohereLabs/tiny-aya-base_multids_ERISLab/WorldSpeech_crs_sc_train_val_exc_clean_2,14,3163.810446,1785820374.505153,70,0.097904,531892.384938,19475128.000000,,,,,4.683329,329.400000,80.486900,4.560000,0.149000,finished,DGX-H200-CN03,2,ERISLab/WorldSpeech,crs_sc,val_clean,q2a_openai/whisper-medium_CohereLabs/tiny-aya-base,crs,8,64,1000,0.001500,420,True,True,False,['ERISLab/WorldSpeech'],['crs_sc'],['train_val_exc_clean'],3656206336,30,False,True,531892.384938,147.747885,512,True,False
w68nxmia,q2a_openai/whisper-medium_CohereLabs/tiny-aya-base_multids_ERISLab/WorldSpeech_crs_sc_train_val_exc_clean_2,15,3512.026722,1785820722.721563,80,0.111891,607780.996000,22253224.000000,4.368300,1.109375,0.001482,6337.323000,,,,,,finished,DGX-H200-CN03,2,ERISLab/WorldSpeech,crs_sc,val_clean,q2a_openai/whisper-medium_CohereLabs/tiny-aya-base,crs,8,64,1000,0.001500,420,True,True,False,['ERISLab/WorldSpeech'],['crs_sc'],['train_val_exc_clean'],3656206336,30,False,True,607780.996000,168.828054,512,False,True
w68nxmia,q2a_openai/whisper-medium_CohereLabs/tiny-aya-base_multids_ERISLab/WorldSpeech_crs_sc_train_val_exc_clean_2,16,3592.176908,1785820802.871523,80,0.111891,607780.996000,22253224.000000,,,,,3.620659,249.170000,80.148400,4.579000,0.150000,finished,DGX-H200-CN03,2,ERISLab/WorldSpeech,crs_sc,val_clean,q2a_openai/whisper-medium_CohereLabs/tiny-aya-base,crs,8,64,1000,0.001500,420,True,True,False,['ERISLab/WorldSpeech'],['crs_sc'],['train_val_exc_clean'],3656206336,30,False,True,607780.996000,168.828054,512,True,False
w68nxmia,q2a_openai/whisper-medium_CohereLabs/tiny-aya-base_multids_ERISLab/WorldSpeech_crs_sc_train_val_exc_clean_2,17,3939.952048,1785821150.646906,90,0.125877,683916.604750,25027344.000000,2.690700,0.605469,0.001477,6353.117000,,,,,,finished,DGX-H200-CN03,2,ERISLab/WorldSpeech,crs_sc,val_clean,q2a_openai/whisper-medium_CohereLabs/tiny-aya-base,crs,8,64,1000,0.001500,420,True,True,False,['ERISLab/WorldSpeech'],['crs_sc'],['train_val_exc_clean'],3656206336,30,False,True,683916.604750,189.976835,512,False,True
w68nxmia,q2a_openai/whisper-medium_CohereLabs/tiny-aya-base_multids_ERISLab/WorldSpeech_crs_sc_train_val_exc_clean_2,18,4018.361139,1785821229.055869,90,0.125877,683916.604750,25027344.000000,,,,,1.916677,57.330000,78.407700,4.681000,0.153000,finished,DGX-H200-CN03,2,ERISLab/WorldSpeech,crs_sc,val_clean,q2a_openai/whisper-medium_CohereLabs/tiny-aya-base,crs,8,64,1000,0.001500,420,True,True,False,['ERISLab/WorldSpeech'],['crs_sc'],['train_val_exc_clean'],3656206336,30,False,True,683916.604750,189.976835,512,True,False
w68nxmia,q2a_openai/whisper-medium_CohereLabs/tiny-aya-base_multids_ERISLab/WorldSpeech_crs_sc_train_val_exc_clean_2,19,4367.767202,1785821578.461979,100,0.139863,760395.953500,27813800.000000,1.653500,0.341797,0.001470,6368.802000,,,,,,finished,DGX-H200-CN03,2,ERISLab/WorldSpeech,crs_sc,val_clean,q2a_openai/whisper-medium_CohereLabs/tiny-aya-base,crs,8,64,1000,0.001500,420,True,True,False,['ERISLab/WorldSpeech'],['crs_sc'],['train_val_exc_clean'],3656206336,30,False,True,760395.953500,211.221098,512,False,True
w68nxmia,q2a_openai/whisper-medium_CohereLabs/tiny-aya-base_multids_ERISLab/WorldSpeech_crs_sc_train_val_exc_clean_2,20,4445.936567,1785821656.631265,100,0.139863,760395.953500,27813800.000000,,,,,1.457486,38.470000,78.167700,4.695000,0.154000,finished,DGX-H200-CN03,2,ERISLab/WorldSpeech,crs_sc,val_clean,q2a_openai/whisper-medium_CohereLabs/tiny-aya-base,crs,8,64,1000,0.001500,420,True,True,False,['ERISLab/WorldSpeech'],['crs_sc'],['train_val_exc_clean'],3656206336,30,False,True,760395.953500,211.221098,512,True,False
w68nxmia,q2a_openai/whisper-medium_CohereLabs/tiny-aya-base_multids_ERISLab/WorldSpeech_crs_sc_train_val_exc_clean_2,21,4806.808674,1785822017.503500,110,0.153850,836016.481750,30591520.000000,1.342500,0.271484,0.001463,6364.963000,,,,,,finished,DGX-H200-CN03,2,ERISLab/WorldSpeech,crs_sc,val_clean,q2a_openai/whisper-medium_CohereLabs/tiny-aya-base,crs,8,64,1000,0.001500,420,True,True,False,['ERISLab/WorldSpeech'],['crs_sc'],['train_val_exc_clean'],3656206336,30,False,True,836016.481750,232.226800,512,False,True
w68nxmia,q2a_openai/whisper-medium_CohereLabs/tiny-aya-base_multids_ERISLab/WorldSpeech_crs_sc_train_val_exc_clean_2,22,4877.940465,1785822088.635235,110,0.153850,836016.481750,30591520.000000,,,,,1.268615,26.170000,71.130100,5.160000,0.169000,finished,DGX-H200-CN03,2,ERISLab/WorldSpeech,crs_sc,val_clean,q2a_openai/whisper-medium_CohereLabs/tiny-aya-base,crs,8,64,1000,0.001500,420,True,True,False,['ERISLab/WorldSpeech'],['crs_sc'],['train_val_exc_clean'],3656206336,30,False,True,836016.481750,232.226800,512,True,False
w68nxmia,q2a_openai/whisper-medium_CohereLabs/tiny-aya-base_multids_ERISLab/WorldSpeech_crs_sc_train_val_exc_clean_2,23,5228.053469,1785822438.748214,120,0.167836,912009.365750,33375984.000000,1.175500,0.245117,0.001456,6384.716000,,,,,,finished,DGX-H200-CN03,2,ERISLab/WorldSpeech,crs_sc,val_clean,q2a_openai/whisper-medium_CohereLabs/tiny-aya-base,crs,8,64,1000,0.001500,420,True,True,False,['ERISLab/WorldSpeech'],['crs_sc'],['train_val_exc_clean'],3656206336,30,False,True,912009.365750,253.335935,512,False,True
w68nxmia,q2a_openai/whisper-medium_CohereLabs/tiny-aya-base_multids_ERISLab/WorldSpeech_crs_sc_train_val_exc_clean_2,24,5300.733910,1785822511.428581,120,0.167836,912009.365750,33375984.000000,,,,,1.158205,25.930000,72.678400,5.050000,0.165000,finished,DGX-H200-CN03,2,ERISLab/WorldSpeech,crs_sc,val_clean,q2a_openai/whisper-medium_CohereLabs/tiny-aya-base,crs,8,64,1000,0.001500,420,True,True,False,['ERISLab/WorldSpeech'],['crs_sc'],['train_val_exc_clean'],3656206336,30,False,True,912009.365750,253.335935,512,True,False
w68nxmia,q2a_openai/whisper-medium_CohereLabs/tiny-aya-base_multids_ERISLab/WorldSpeech_crs_sc_train_val_exc_clean_2,25,5650.776038,1785822861.470869,130,0.181822,988184.127938,36159144.000000,1.095200,0.306641,0.001447,6399.617000,,,,,,finished,DGX-H200-CN03,2,ERISLab/WorldSpeech,crs_sc,val_clean,q2a_openai/whisper-medium_CohereLabs/tiny-aya-base,crs,8,64,1000,0.001500,420,True,True,False,['ERISLab/WorldSpeech'],['crs_sc'],['train_val_exc_clean'],3656206336,30,False,True,988184.127938,274.495591,512,False,True
w68nxmia,q2a_openai/whisper-medium_CohereLabs/tiny-aya-base_multids_ERISLab/WorldSpeech_crs_sc_train_val_exc_clean_2,26,5715.945491,1785822926.640106,130,0.181822,988184.127938,36159144.000000,,,,,1.080523,25.950000,65.167600,5.632000,0.184000,finished,DGX-H200-CN03,2,ERISLab/WorldSpeech,crs_sc,val_clean,q2a_openai/whisper-medium_CohereLabs/tiny-aya-base,crs,8,64,1000,0.001500,420,True,True,False,['ERISLab/WorldSpeech'],['crs_sc'],['train_val_exc_clean'],3656206336,30,False,True,988184.127938,274.495591,512,True,False
w68nxmia,q2a_openai/whisper-medium_CohereLabs/tiny-aya-base_multids_ERISLab/WorldSpeech_crs_sc_train_val_exc_clean_2,27,6066.461204,1785823277.156015,140,0.195808,1064516.691313,38947016.000000,1.001400,0.233398,0.001438,6420.660000,,,,,,finished,DGX-H200-CN03,2,ERISLab/WorldSpeech,crs_sc,val_clean,q2a_openai/whisper-medium_CohereLabs/tiny-aya-base,crs,8,64,1000,0.001500,420,True,True,False,['ERISLab/WorldSpeech'],['crs_sc'],['train_val_exc_clean'],3656206336,30,False,True,1064516.691313,295.699081,512,False,True
w68nxmia,q2a_openai/whisper-medium_CohereLabs/tiny-aya-base_multids_ERISLab/WorldSpeech_crs_sc_train_val_exc_clean_2,28,6132.650664,1785823343.345449,140,0.195808,1064516.691313,38947016.000000,,,,,1.027600,26.420000,66.188100,5.545000,0.181000,finished,DGX-H200-CN03,2,ERISLab/WorldSpeech,crs_sc,val_clean,q2a_openai/whisper-medium_CohereLabs/tiny-aya-base,crs,8,64,1000,0.001500,420,True,True,False,['ERISLab/WorldSpeech'],['crs_sc'],['train_val_exc_clean'],3656206336,30,False,True,1064516.691313,295.699081,512,True,False
