run_id,dataset,language_name,model_short,state,global_step,batch_size,gradient_accumulation_steps,effective_batch,samples_processed,audio_hours_processed,epochs_logged,mean_sample_seconds,train_configs,n_train_configs,stream_exhausted,estimate_kind,implied_stream_samples,implied_stream_hours,expected_stream_examples,expected_stream_examples_post_filter,n_dropped_by_cap,ratio_implied_to_expected,ratio_implied_to_expected_post_filter,ratio_to_closest_single_config,accounting_flag,mean_sample_seconds_within_cap
r5qxmpsb,id_id,Indonesian,earth,finished,1000,8,64,512,512000,2181.455403,5.015000,15.338358,id_id,1,True,estimate,102093.718843,434.986122,101112.000000,101112.000000,0.000000,1.009709,1.009709,,reconciles,True
j0m25u9a,id_id,Indonesian,fire,finished,1000,8,64,512,512000,2181.455403,5.015000,15.338358,id_id,1,True,estimate,102093.718843,434.986122,101112.000000,101112.000000,0.000000,1.009709,1.009709,,reconciles,True
tkr1e18d,id_id,Indonesian,global,finished,1000,8,64,512,512000,2181.455403,5.015000,15.338358,id_id,1,True,estimate,102093.718843,434.986122,101112.000000,101112.000000,0.000000,1.009709,1.009709,,reconciles,True
knqamwxn,id_id,Indonesian,water,finished,1000,8,64,512,512000,2181.455403,5.015000,15.338358,id_id,1,True,estimate,102093.718843,434.986122,101112.000000,101112.000000,0.000000,1.009709,1.009709,,reconciles,True
dkfv8x7l,mr_in,Marathi,earth,finished,1000,8,64,512,512000,1913.041684,8.096000,13.451074,mr_in,1,True,estimate,63241.106719,236.294674,58201.000000,58201.000000,0.000000,1.086598,1.086598,,reconciles,True
6hwloeuj,mr_in,Marathi,fire,finished,1000,8,64,512,512000,1913.041684,8.096000,13.451074,mr_in,1,True,estimate,63241.106719,236.294674,58201.000000,58201.000000,0.000000,1.086598,1.086598,,reconciles,True
azz9fzz9,mr_in,Marathi,global,finished,1000,8,64,512,512000,1913.041684,8.096000,13.451074,mr_in,1,True,estimate,63241.106719,236.294674,58201.000000,58201.000000,0.000000,1.086598,1.086598,,reconciles,True
m6tygsps,mr_in,Marathi,water,finished,1000,8,64,512,512000,1913.041684,8.096000,13.451074,mr_in,1,True,estimate,63241.106719,236.294674,58201.000000,58201.000000,0.000000,1.086598,1.086598,,reconciles,True
o2zx5oc0,sw_ke,Swahili,earth,finished,1000,8,64,512,512000,1482.037092,1.411000,10.420573,sw_ke+sw_tz,2,True,estimate,362863.217576,1050.345211,302088.000000,302088.000000,0.000000,1.201184,1.201184,1.811472,reconciles,True
ygtvm6lc,sw_ke,Swahili,fire,finished,1000,8,64,512,512000,1482.037092,1.411000,10.420573,sw_ke+sw_tz,2,True,estimate,362863.217576,1050.345211,302088.000000,302088.000000,0.000000,1.201184,1.201184,1.811472,reconciles,True
u7848jw4,sw_ke,Swahili,global,finished,1000,8,64,512,512000,1482.037092,1.411000,10.420573,sw_ke+sw_tz,2,True,estimate,362863.217576,1050.345211,302088.000000,302088.000000,0.000000,1.201184,1.201184,1.811472,reconciles,True
j6mhclux,sw_ke,Swahili,water,finished,1000,8,64,512,512000,1482.037092,1.411000,10.420573,sw_ke+sw_tz,2,True,estimate,362863.217576,1050.345211,302088.000000,302088.000000,0.000000,1.201184,1.201184,1.811472,reconciles,True
xtcqgc2e,ta_in,Tamil,earth,finished,1000,8,64,512,512000,2019.961006,58.014000,14.202851,ta_in+ta_lk,2,True,estimate,8825.455924,34.818509,32107.000000,8846.000000,23261.000000,0.274876,0.997678,0.997678,reconciles,True
oq0c4e9d,ta_in,Tamil,fire,finished,1000,8,64,512,512000,2019.961006,58.014000,14.202851,ta_in+ta_lk,2,True,estimate,8825.455924,34.818509,32107.000000,8846.000000,23261.000000,0.274876,0.997678,0.997678,reconciles,True
hedu8pbd,ta_in,Tamil,global,finished,1000,8,64,512,512000,2019.961006,58.014000,14.202851,ta_in+ta_lk,2,True,estimate,8825.455924,34.818509,32107.000000,8846.000000,23261.000000,0.274876,0.997678,0.997678,reconciles,True
xpjtxhze,ta_in,Tamil,water,finished,1000,8,64,512,512000,2019.961006,58.014000,14.202851,ta_in+ta_lk,2,True,estimate,8825.455924,34.818509,32107.000000,8846.000000,23261.000000,0.274876,0.997678,0.997678,reconciles,True
