run_id,serial,model_id,model_short,dataset,dataset_path,split,state,seed,run_start,effective_batch,epochs_logged_unreliable,n_evals,best_cer,final_cer,final_minus_best,audio_h_to_best,audio_h_total,step_to_best,step_total,epoch_at_best,epoch_total,first_cer,audio_h_to_1.25x_best,step_to_1.25x_best,epoch_at_1.25x_best,audio_h_to_1.5x_best,step_to_1.5x_best,epoch_at_1.5x_best,audio_h_to_2x_best,step_to_2x_best,epoch_at_2x_best,late_sd,late_mean,n_late,language_name,region,language_status,train_eval_match,excluded_from_aggregate,is_canonical,n_runs_in_cell
1lmfgt3j,0,q2a_openai/whisper-medium_CohereLabs/tiny-aya-water,water,ha_ng,disco-eth/WorldSpeech,test,finished,42,1784890143.194956,512,18.046000,101,34.860000,36.250000,1.390000,1041.954150,2265.632343,460.000000,1000.000000,8.036000,18.046000,194.100000,634.047761,280.000000,5.015000,475.326569,210.000000,3.051000,430.187952,190.000000,3.031000,0.712548,36.731667,30,Hausa,earth,in_domain,clean,False,True,1
t4rmeg0a,0,q2a_openai/whisper-medium_CohereLabs/tiny-aya-earth,earth,hi_in,google/fleurs,validation,finished,42,1784400123.988548,512,1.000000,101,12.360000,19.190000,6.830000,895.984376,1939.252849,460.000000,1000.000000,0.460000,1.000000,324.410000,895.984376,460.000000,0.460000,501.263721,250.000000,0.250000,343.100071,170.000000,0.170000,1.413874,18.885806,31,Hindi,fire,in_domain,clean,False,True,1
orr0exu9,0,q2a_openai/whisper-medium_CohereLabs/tiny-aya-fire,fire,hi_in,google/fleurs,validation,finished,42,1784399205.468875,512,1.000000,101,13.110000,20.910000,7.800000,343.100071,1939.252849,170.000000,1000.000000,0.170000,1.000000,252.290000,343.100071,170.000000,0.170000,325.989780,160.000000,0.160000,325.989780,160.000000,0.160000,2.549827,23.184839,31,Hindi,fire,in_domain,clean,False,True,1
2d1cacxp,0,q2a_openai/whisper-medium_CohereLabs/tiny-aya-global,global,hi_in,google/fleurs,validation,finished,42,1784398654.270946,512,1.000000,101,13.180000,17.800000,4.620000,1526.081983,1939.252849,780.000000,1000.000000,0.780000,1.000000,297.510000,671.909779,340.000000,0.340000,501.263721,250.000000,0.250000,363.136709,180.000000,0.180000,1.610316,17.395161,31,Hindi,fire,in_domain,clean,False,True,1
3f6qv4qj,0,q2a_openai/whisper-medium_CohereLabs/tiny-aya-water,water,hi_in,google/fleurs,validation,finished,42,1784400121.146897,512,1.000000,101,11.740000,18.610000,6.870000,914.498830,1939.252849,470.000000,1000.000000,0.470000,1.000000,311.220000,343.100071,170.000000,0.170000,325.989780,160.000000,0.160000,288.161528,140.000000,0.140000,1.206527,18.032903,31,Hindi,fire,in_domain,clean,False,True,1
r5qxmpsb,0,q2a_openai/whisper-medium_CohereLabs/tiny-aya-earth,earth,id_id,google/fleurs,validation,finished,42,1784349341.015769,512,5.015000,101,6.420000,6.600000,0.180000,1766.479672,2181.455403,810.000000,1000.000000,4.022000,5.015000,194.830000,521.213587,240.000000,1.043000,411.832427,190.000000,0.190000,319.035639,150.000000,0.150000,1.142094,7.027333,30,Indonesian,water,in_domain,clean,False,True,1
j0m25u9a,0,q2a_openai/whisper-medium_CohereLabs/tiny-aya-fire,fire,id_id,google/fleurs,validation,finished,42,1784349346.585377,512,5.015000,101,5.850000,5.940000,0.090000,1745.138158,2181.455403,800.000000,1000.000000,4.012000,5.015000,281.580000,436.268311,200.000000,1.003000,364.254632,170.000000,0.170000,255.186250,120.000000,0.120000,0.721071,6.355333,30,Indonesian,water,in_domain,clean,False,True,1
tkr1e18d,0,q2a_openai/whisper-medium_CohereLabs/tiny-aya-global,global,id_id,google/fleurs,validation,finished,42,1784349347.230540,512,5.015000,101,6.050000,6.430000,0.380000,1330.209434,2181.455403,610.000000,1000.000000,3.019000,5.015000,188.440000,436.268311,200.000000,1.003000,388.081963,180.000000,0.180000,297.724656,140.000000,0.140000,0.841827,6.700333,30,Indonesian,water,in_domain,clean,False,True,1
knqamwxn,0,q2a_openai/whisper-medium_CohereLabs/tiny-aya-water,water,id_id,google/fleurs,validation,finished,42,1784349530.345986,512,5.015000,101,5.740000,6.170000,0.430000,936.348523,2181.455403,430.000000,1000.000000,2.036000,5.015000,276.970000,436.268311,200.000000,1.003000,388.081963,180.000000,0.180000,297.724656,140.000000,0.140000,1.088496,6.616333,30,Indonesian,water,in_domain,clean,False,True,1
dkfv8x7l,0,q2a_openai/whisper-medium_CohereLabs/tiny-aya-earth,earth,mr_in,google/fleurs,validation,finished,42,1784978900.340263,512,8.096000,101,13.810000,16.250000,2.440000,899.690542,1913.041684,470.000000,1000.000000,4.018000,8.096000,388.030000,459.412486,240.000000,2.014000,209.231491,110.000000,0.110000,190.175856,100.000000,0.100000,0.433988,15.824194,31,Marathi,fire,in_domain,clean,False,True,1
6hwloeuj,0,q2a_openai/whisper-medium_CohereLabs/tiny-aya-fire,fire,mr_in,google/fleurs,validation,finished,42,1785039654.673126,512,8.096000,101,13.570000,14.950000,1.380000,689.168892,1913.041684,360.000000,1000.000000,3.021000,8.096000,454.810000,362.205398,190.000000,1.077000,248.850018,130.000000,1.017000,209.231491,110.000000,0.110000,0.388696,14.682258,31,Marathi,fire,in_domain,clean,False,True,1
azz9fzz9,0,q2a_openai/whisper-medium_CohereLabs/tiny-aya-global,global,mr_in,google/fleurs,validation,finished,42,1785040201.319301,512,8.096000,101,14.140000,14.770000,0.630000,708.355539,1913.041684,370.000000,1000.000000,3.031000,8.096000,460.900000,381.432658,200.000000,1.087000,306.426455,160.000000,1.047000,248.850018,130.000000,1.017000,0.541497,15.535161,31,Marathi,fire,in_domain,clean,False,True,1
m6tygsps,0,q2a_openai/whisper-medium_CohereLabs/tiny-aya-water,water,mr_in,google/fleurs,validation,finished,42,1784978900.272738,512,8.096000,101,14.210000,15.050000,0.840000,1091.101068,1913.041684,570.000000,1000.000000,5.005000,8.096000,562.590000,459.412486,240.000000,2.014000,362.205398,190.000000,1.077000,268.015306,140.000000,1.027000,0.287194,15.071613,31,Marathi,fire,in_domain,clean,False,True,1
o2zx5oc0,0,q2a_openai/whisper-medium_CohereLabs/tiny-aya-earth,earth,sw_ke,google/fleurs,validation,finished,42,1784453195.120424,512,1.411000,101,13.530000,17.650000,4.120000,674.749094,1482.037092,460.000000,1000.000000,0.460000,1.411000,265.960000,575.412682,400.000000,0.400000,373.159766,260.000000,0.260000,228.982677,160.000000,0.160000,1.140882,18.465806,31,Swahili,earth,in_domain,clean,False,True,1
ygtvm6lc,0,q2a_openai/whisper-medium_CohereLabs/tiny-aya-fire,fire,sw_ke,google/fleurs,validation,finished,42,1784453638.491692,512,1.411000,101,13.590000,15.520000,1.930000,575.412682,1482.037092,400.000000,1000.000000,0.400000,1.411000,292.670000,387.534760,270.000000,0.270000,228.982677,160.000000,0.160000,214.536256,150.000000,0.150000,2.591359,17.699355,31,Swahili,earth,in_domain,clean,False,True,1
u7848jw4,0,q2a_openai/whisper-medium_CohereLabs/tiny-aya-global,global,sw_ke,google/fleurs,validation,finished,42,1784453135.747116,512,1.411000,101,12.600000,13.530000,0.930000,1032.214717,1482.037092,690.000000,1000.000000,1.101000,1.411000,228.510000,286.703659,200.000000,0.200000,257.958602,180.000000,0.180000,214.536256,150.000000,0.150000,1.454768,15.629677,31,Swahili,earth,in_domain,clean,False,True,1
j6mhclux,0,q2a_openai/whisper-medium_CohereLabs/tiny-aya-water,water,sw_ke,google/fleurs,validation,finished,42,1784453755.516646,512,1.411000,101,13.760000,15.950000,2.190000,1017.773588,1482.037092,680.000000,1000.000000,1.091000,1.411000,302.790000,946.003088,630.000000,1.041000,301.228026,210.000000,0.210000,214.536256,150.000000,0.150000,1.682064,17.132258,31,Swahili,earth,in_domain,clean,False,True,1
o1aorqtl,2,q2a_openai/whisper-medium_CohereLabs/tiny-aya-base,base,ta_in,google/fleurs,validation,finished,42,1785440602.570031,512,58.014000,101,34.740000,54.950000,20.210000,565.636553,2019.961006,280.000000,1000.000000,16.008000,58.014000,291.900000,323.183870,160.000000,9.007000,242.445483,120.000000,7.001000,201.607292,100.000000,5.015000,1.995904,55.266129,31,Tamil,fire,in_domain,clean,False,True,1
xtcqgc2e,0,q2a_openai/whisper-medium_CohereLabs/tiny-aya-earth,earth,ta_in,google/fleurs,validation,finished,42,1784779227.326537,512,58.014000,101,56.760000,65.220000,8.460000,969.640332,2019.961006,480.000000,1000.000000,28.004000,58.014000,188.440000,444.008855,220.000000,12.016000,363.552823,180.000000,10.010000,161.443823,80.000000,4.012000,2.778459,65.534839,31,Tamil,fire,in_domain,clean,False,True,1
oq0c4e9d,0,q2a_openai/whisper-medium_CohereLabs/tiny-aya-fire,fire,ta_in,google/fleurs,validation,finished,42,1784779226.862859,512,58.014000,101,43.630000,63.220000,19.590000,484.848059,2019.961006,240.000000,1000.000000,14.002000,58.014000,197.210000,282.728818,140.000000,8.004000,242.445483,120.000000,7.001000,222.180796,110.000000,6.008000,1.898634,64.054839,31,Tamil,fire,in_domain,clean,False,True,1
hedu8pbd,0,q2a_openai/whisper-medium_CohereLabs/tiny-aya-global,global,ta_in,google/fleurs,validation,finished,42,1784779226.759209,512,58.014000,101,61.210000,74.440000,13.230000,727.290155,2019.961006,360.000000,1000.000000,21.003000,58.014000,373.370000,727.290155,360.000000,21.003000,585.901239,290.000000,17.001000,100.553098,50.000000,2.016000,2.292998,73.968387,31,Tamil,fire,in_domain,clean,False,True,1
hxk4nq63,2,q2a_openai/whisper-medium_Qwen/Qwen3-4B,qwen3-4b,ta_in,google/fleurs,validation,finished,42,1785440599.922714,512,58.014000,101,44.620000,52.770000,8.150000,565.636553,2019.961006,280.000000,1000.000000,16.008000,58.014000,584.300000,262.555101,130.000000,7.011000,262.555101,130.000000,7.011000,242.445483,120.000000,7.001000,1.188905,53.448387,31,Tamil,fire,in_domain,clean,False,True,1
xpjtxhze,0,q2a_openai/whisper-medium_CohereLabs/tiny-aya-water,water,ta_in,google/fleurs,validation,finished,42,1784779227.253088,512,58.014000,101,59.890000,70.920000,11.030000,747.258404,2019.961006,370.000000,1000.000000,21.013000,58.014000,234.940000,464.656013,230.000000,13.009000,242.445483,120.000000,7.001000,222.180796,110.000000,6.008000,3.063693,73.890645,31,Tamil,fire,in_domain,clean,False,True,1
b7zpqqc3,0,q2a_openai/whisper-medium_CohereLabs/tiny-aya-earth,earth,ur_pk,google/fleurs,validation,finished,42,1785597212.332999,512,16.040000,101,20.280000,31.320000,11.040000,585.981524,1356.245630,430.000000,1000.000000,7.010000,16.040000,400.820000,260.668509,190.000000,3.010000,260.668509,190.000000,3.010000,260.668509,190.000000,3.010000,2.634509,30.205161,31,Urdu,fire,in_domain,clean,False,True,1
n94vk1it,0,q2a_openai/whisper-medium_CohereLabs/tiny-aya-fire,fire,ur_pk,google/fleurs,validation,finished,42,1785597206.985941,512,16.040000,101,22.240000,68.290000,46.050000,192.534027,1356.245630,140.000000,1000.000000,2.020000,16.040000,165.080000,179.340256,130.000000,2.010000,179.340256,130.000000,2.010000,179.340256,130.000000,2.010000,9.214990,68.976774,31,Urdu,fire,in_domain,clean,False,True,1
k5dgk8jz,0,q2a_openai/whisper-medium_CohereLabs/tiny-aya-global,global,ur_pk,google/fleurs,validation,finished,42,1785597212.044538,512,16.040000,101,17.640000,32.070000,14.430000,367.808579,1356.245630,270.000000,1000.000000,4.030000,16.040000,331.090000,260.668509,190.000000,3.010000,230.466796,170.000000,2.050000,179.340256,130.000000,2.010000,1.880111,30.639032,31,Urdu,fire,in_domain,clean,False,True,1
1styzr4f,0,q2a_openai/whisper-medium_CohereLabs/tiny-aya-water,water,ur_pk,google/fleurs,validation,finished,42,1785597238.270198,512,16.040000,101,21.330000,36.060000,14.730000,423.325016,1356.245630,310.000000,1000.000000,5.010000,16.040000,323.760000,205.152072,150.000000,2.030000,179.340256,130.000000,2.010000,179.340256,130.000000,2.010000,3.711873,36.155806,31,Urdu,fire,in_domain,clean,False,True,1
