population,excludes_degenerate,predictor,outcome,aggregation,study_cell,spearman_rho,spearman_p,n,model_population
all_varieties,True,fleurs_wer,variety_wer,within_language,es_419,0.324372,0.122003,24,baseline
all_varieties,True,fleurs_wer,penalty_rel,pooled,ALL,-0.036112,0.784142,60,baseline
all_varieties,True,fleurs_wer,penalty_rel,language_centred,ALL,-0.065236,0.620450,60,baseline
all_varieties,True,fleurs_wer,penalty_rel,within_language,en_us,-0.134840,0.560062,21,baseline
all_varieties,True,fleurs_wer,penalty_rel,within_language,es_419,-0.081093,0.706406,24,baseline
held_out_only,False,primary_wer,variety_wer,pooled,ALL,0.461059,0.001861,43,trained
held_out_only,False,primary_wer,variety_wer,language_centred,ALL,0.031739,0.839881,43,trained
held_out_only,False,primary_wer,variety_wer,within_language,en_us,-0.009631,0.966949,21,trained
held_out_only,False,primary_wer,variety_wer,within_language,es_419,-0.039344,0.876821,18,trained
held_out_only,False,primary_wer,penalty_rel,pooled,ALL,0.360576,0.017535,43,trained
held_out_only,False,primary_wer,penalty_rel,language_centred,ALL,-0.004120,0.979081,43,trained
held_out_only,False,primary_wer,penalty_rel,within_language,en_us,-0.077051,0.739914,21,trained
held_out_only,False,primary_wer,penalty_rel,within_language,es_419,-0.131148,0.603957,18,trained
held_out_only,False,fleurs_wer,variety_wer,pooled,ALL,0.464838,0.004286,36,trained
held_out_only,False,fleurs_wer,variety_wer,language_centred,ALL,0.022191,0.897782,36,trained
held_out_only,False,fleurs_wer,variety_wer,within_language,en_us,-0.088596,0.763275,14,trained
held_out_only,False,fleurs_wer,variety_wer,within_language,es_419,0.039344,0.876821,18,trained
held_out_only,False,fleurs_wer,penalty_rel,pooled,ALL,0.394218,0.017356,36,trained
held_out_only,False,fleurs_wer,penalty_rel,language_centred,ALL,-0.018536,0.914551,36,trained
held_out_only,False,fleurs_wer,penalty_rel,within_language,en_us,-0.159473,0.586051,14,trained
held_out_only,False,fleurs_wer,penalty_rel,within_language,es_419,-0.026230,0.917716,18,trained
held_out_only,True,primary_wer,variety_wer,pooled,ALL,0.440382,0.004457,40,trained
held_out_only,True,primary_wer,variety_wer,language_centred,ALL,-0.029940,0.854490,40,trained
held_out_only,True,primary_wer,variety_wer,within_language,en_us,-0.026230,0.917716,18,trained
held_out_only,True,primary_wer,variety_wer,within_language,es_419,-0.039344,0.876821,18,trained
held_out_only,True,primary_wer,penalty_rel,pooled,ALL,0.325833,0.040192,40,trained
held_out_only,True,primary_wer,penalty_rel,language_centred,ALL,-0.104032,0.522935,40,trained
held_out_only,True,primary_wer,penalty_rel,within_language,en_us,-0.118033,0.640887,18,trained
held_out_only,True,primary_wer,penalty_rel,within_language,es_419,-0.131148,0.603957,18,trained
held_out_only,True,fleurs_wer,variety_wer,pooled,ALL,0.436122,0.009925,34,trained
held_out_only,True,fleurs_wer,variety_wer,language_centred,ALL,-0.021218,0.905193,34,trained
held_out_only,True,fleurs_wer,variety_wer,within_language,en_us,-0.144841,0.653339,12,trained
held_out_only,True,fleurs_wer,variety_wer,within_language,es_419,0.039344,0.876821,18,trained
held_out_only,True,fleurs_wer,penalty_rel,pooled,ALL,0.357911,0.037681,34,trained
held_out_only,True,fleurs_wer,penalty_rel,language_centred,ALL,-0.117394,0.508481,34,trained
held_out_only,True,fleurs_wer,penalty_rel,within_language,en_us,-0.241402,0.449729,12,trained
held_out_only,True,fleurs_wer,penalty_rel,within_language,es_419,-0.026230,0.917716,18,trained
all_varieties,False,primary_wer,variety_wer,pooled,ALL,0.497289,0.000205,51,trained
